起始年,终止年,人物或事件,外文原名,文明或国家,朝代或时期,地区,城市,领域,类型,子类,代表作品,时期
-5000000000.0,,太阳系,,,,,,,,,,史前时期
-4600000000.0,,,,地球,,,,地质,,,地球形成,史前时期
-4200000000.0,,,,地球,冥古宙,,,地质,,,最早的海洋形成,史前时期
-3500000000.0,,,,地球,太古宙,,,地质,,,生命起源,史前时期
-2500000000.0,,,,地球,太古宙,,,地质,,,"蓝细菌出现,开始光合作用",史前时期
-2400000000.0,,,,地球,元古宙,,,地质,,,大氧化事件,史前时期
-1800000000.0,,,,地球,元古宙,,,地质,,,真核生物出现,史前时期
-541000000.0,,,,地球,古生代,,,地质,,,寒武纪大爆发,史前时期
-250000000.0,,,,地球,中生代,,,地质,,,"三叠纪,恐龙时代开始",史前时期
-200000000.0,,,,地球,中生代,盘古大陆,,地质,,,盘古大陆开始分裂,史前时期
-66000000.0,,,,地球,新生代,,,地质,,,"恐龙灭绝,哺乳动物崛起",史前时期
-60000000.0,,哺乳动物,,,新生代,,,,,,,史前时期
-5000000.0,,人类,,,,,,,,,与黑猩猩的共同祖先分支出来,远古文明
-50000.0,,智人,,,,,,,,,源于非洲,古代史
-12000.0,,新石器农业,,,,,,,,,出现植物与动物驯化 山顶洞人 1.8-1万,古代史
-10000.0,,狩猎采集,,,,,,,,,直立人到智人 北京猿人 50万年前,古代史
-7000.0,-6500.0,,Neolithic Greece,古希腊,新石器,,,,,,,古代史
-7000.0,-6000.0,,,华夏,河姆渡文化,浙江,余姚河姆渡,,,,,古代史
-5300.0,-4000.0,,,华夏,良渚文化,浙江,杭州余杭,,,,,古代史
-5000.0,-2700.0,,,华夏,仰韶文化,河南,三门峡,,,,,古代史
-3500.0,-1100.0,,Minoan civilization,古希腊,米诺斯文明 青铜,,,,,,克里特岛 -2000复杂城市文明开始,古代史
-3000.0,-1900.0,,,华夏,龙山文化 黑陶,山东,济南章丘,,,,,古代史
-2750.0,,,,古希腊,,,,,,,苏尔 推罗 Tyre 建城 国王女儿欧罗巴 儿子米诺斯克里特岛统治者,古代史
-2070.0,-1600.0,,,华夏,夏,,,,,,始于禹 禅让制传启 终于夏桀,古代史
-2000.0,1697.0,,Cultura maya,,,中美洲,,,,,,古代史
-1920.0,-1520.0,,,华夏,二里头文化,河南,洛阳,,,,,古代史
-1750.0,-1050.0,,,古希腊,迈锡尼文明 青铜,,,,,,古希腊青铜时期最后阶段,古代史
-1700.0,-1046.0,,,华夏,商,,,,,,始于商汤 终于商纣王帝辛,古代史
-1500.0,-1300.0,,,华夏,二里岗文化,河南,郑州,,,,,古代史
-1200.0,-750.0,,,古希腊,黑暗时代,,,,,,城邦世界的形成 荷马时代 几何时代,古代史
-1076.0,-1043.0,周武王,姬发,华夏,商,,,,,,,古代史
-1056.0,-1025.0,周成王,姬诵,华夏,商,,,,,,,古代史
-1046.0,-771.0,,,华夏,西周,,丰镐 西安,,,,定都丰镐 武王克商 武王伐纣 实行封建,古代史
-814.0,-146.0,,Ancient Carthage,,,,迦太基,,,,腓尼基人 Phoenicia,古代史
-808.0,-168.0,,,古希腊,马其顿,,,,,,亚历山大帝国 古典时代到希腊化时代,古代史
-770.0,-403.0,,,华夏,春秋,,,,,,,古代史
-770.0,-256.0,,,华夏,东周,,洛邑 洛阳,,,,镐京迁都洛邑,古代史
-770.0,-720.0,周平王,姬宜臼,华夏,西周,,,,,,周幽王之子,古代史
-753.0,-509.0,,Regnum Romanum,古罗马,罗马王国,,,,,,此时罗马是一个部落 没有建立共和国,古代史
-750.0,-650.0,赫西奥德,Hesiod,古希腊,,,,,,,《Theogony神谱》《Works and Days工作与时日》,古代史
-750.0,-500.0,,,古希腊,古风时代,,,,,,早期希腊,古代史
-671.0,-628.0,晋文公,重耳,华夏,春秋,,,文学,诗歌,,开创晋国 春秋五霸 尊王攘夷,古代史
-623.0,-543.0,释伽牟尼,悉达多·乔达摩,古印度,,,,思想,佛教,,释尊,古代史
-571.0,-470.0,老子,李聃,华夏,春秋,,,思想,道家,,,古代史
-551.0,-479.0,孔子,孔丘,华夏,春秋,,,思想,儒家,,,古代史
-545.0,-470.0,孙子,孙武,华夏,春秋,,,,,,,古代史
-525.0,-456.0,埃斯库罗斯,Αισχύλος,古希腊,,,,文学,诗歌,悲剧,阿伽门农三部曲,古代史
-509.0,-27.0,,Res Publica Romana,古罗马,罗马共和国,,,,,,,古代史
-500.0,-428.0,阿那克萨哥拉,Anaxagoras,古希腊,古典时代,,,哲学,思想,,提出种子说和心灵(努斯)概念,古代史
-496.0,-405.0,索福克勒斯,Σοφοκλῆς,古希腊,,,,文学,诗歌,悲剧,俄狄浦斯系列,古代史
-495.0,-429.0,伯里克利,Pericles,古希腊,古典时代,雅典,雅典,政治,,,雅典黄金时代,古代史
-480.0,-406.0,欧里庇得斯,Εὐριπίδης,古希腊,古典时代,雅典,雅典,文学,戏剧,悲剧,《美狄亚》《特洛伊妇女》,古代史
-480.0,-406.0,欧里庇得斯,Εὐριπίδης,古希腊,,,,文学,诗歌,悲剧,,古代史
-470.0,-399.0,苏格拉底,Σωκράτης,古希腊,,,,哲学,西方,,,古代史
-460.0,-370.0,德谟克利特,Democritus,古希腊,古典时代,,,哲学,思想,,原子论创始人,古代史
-428.0,-348.0,柏拉图,Plato,古希腊,古典时代,雅典,雅典,哲学,思想,,《理想国》《会饮篇》,古代史
-403.0,-221.0,,,华夏,战国,,,,,,三家分晋,古代史
-384.0,-322.0,亚里士多德,Aristotle,古希腊,古典时代,雅典,雅典,学者,哲学,,《形而上学》《尼各马可伦理学》《诗学》,古代史
-356.0,-323.0,亚历山大大帝,Alexander the Great,古希腊,古典时代,,,军事,,,建立横跨欧亚非的亚历山大帝国,古代史
-341.0,-270.0,伊壁鸠鲁,Ἐπίκουρος,古希腊,马其顿,,雅典,,,,《认识论》,古代史
-322.0,-185.0,,,古印度,孔雀王朝,,,,,,铁器时代,古代史
-286.0,-232.0,阿育王,अशोक,古印度,,,,,,,佛教徒 佛教护法,古代史
-232.0,-202.0,项羽,,华夏,战国,,,,,,,古代史
-221.0,-207.0,,,华夏,秦,,,,,,,古代史
-206.0,9.0,,,华夏,西楚 西汉,,,,,,始于高祖刘邦 终于刘婴,古代史
-168.0,覆灭,,,,马其顿,,,,,,,古代史
-156.0,-78.0,刘彻,,华夏,,,,,,,汉武帝,古代史
-70.0,-19.0,维吉尔,Publius Vergilius Maro,古罗马,罗马共和国,,,文学,史诗,,《埃涅阿斯记》,古代史
-27.0,395.0,,Roman Empire,古罗马,罗马帝国,,,,,,始于凯撒去世 统一政体,古代史
-6.0,33.0,耶稣,Ἰησοῦς,,罗马帝国,,,,,,,古代史
9.0,23.0,,,华夏,新,,,,,,王莽,中世纪前
25.0,220.0,,,华夏,东汉,,,,,,始于光武帝刘秀终于献帝刘协,中世纪前
76.0,138.0,哈德良,Hadrian,古罗马,罗马帝国,,,,,,古罗马皇帝 中国史书称大秦,中世纪前
